areas,bathrooms,bedrooms,r$_pmo,coord,class,class_distance
450.0,7.0,4.0,5000,"(-23.0197394, -43.4600439)",0.0,
56.0,2.0,2.0,1300,"(-22.8871743, -43.3041246)",0.0,"[(55.762227489584866, (39.111988616760854, 41.29526459276425))]"
61.0,2.0,2.0,1380,"(-22.9548472, -43.3765899)",0.0,"[(34.371152677812084, (23.81103482822584, 25.77489669212802))]"
97.0,3.0,2.0,2950,"(-23.0056458, -43.330188299999996)",0.0,"[(36.596386230240114, (25.44428270453014, 27.34541011064478))]"
65.0,2.0,2.0,2400,"(-23.004933800000003, -43.3312167)",0.0,"[(35.60729471050389, (24.75659938819149, 26.606344972519246))]"
95.0,2.0,3.0,2650,"(-22.937735600000003, -43.3446284)",0.0,"[(41.29457094898715, (28.71077845713874, 30.855969516741073))]"
130.0,3.0,3.0,7300,"(-22.9821776, -43.2133851)",0.0,"[(57.24367170473368, (39.79967193309951, 42.77339486901532))]"
70.0,2.0,2.0,1500,"(-22.9451467, -43.3374151)",0.0,"[(41.66841515519541, (28.624818042596406, 31.502651512600913))]"
64.0,2.0,2.0,1650,"(-22.9709611, -43.395351399999996)",0.0,"[(29.98954704554505, (21.318182806498225, 21.894804716968963))]"
65.0,2.0,2.0,1900,"(-22.9408899, -43.3422564)",1.0,0
54.0,2.0,2.0,1700,"(-22.928988, -43.3534191)",1.0,0
400.0,4.0,5.0,3500,"(-23.016643600000002, -43.4687359)",0.0,"[(10.88000671709841, (7.564516479725176, 8.129716519380882))]"
77.0,2.0,2.0,2300,"(-22.937735600000003, -43.3446284)",0.0,"[(41.29457094898715, (28.71077845713874, 30.855969516741073))]"
67.0,2.0,3.0,1800,"(-22.9665038, -43.371319299999996)",0.0,"[(34.31852276344253, (24.41275773002216, 25.035831554002485))]"
66.0,2.0,2.0,1700,"(-22.9408899, -43.3422564)",1.0,0
70.0,2.0,2.0,2300,"(-22.822127300000002, -43.1718358)",0.0,"[(84.07359735592078, (58.71096313241245, 62.54338731387337))]"
90.0,2.0,2.0,1500,"(-22.8395223, -43.32898460000001)",0.0,"[(58.54188696335408, (40.65927607852282, 43.789609433937926))]"
70.0,2.0,2.0,2600,"(-22.9219495, -43.2345965)",0.0,"[(60.34268946682186, (41.260998980319144, 45.822038563783146))]"
74.0,2.0,2.0,1000,"(-22.9149163, -43.346668)",1.0,0
69.0,2.0,2.0,1700,"(-23.0066417, -43.4845412)",0.0,
70.0,3.0,1.0,2650,"(-22.9859524, -43.1911156)",0.0,"[(57.25021364793695, (40.40139483489583, 42.126712873155476))]"
65.0,2.0,2.0,2300,"(-22.9323641, -43.1821872)",0.0,"[(66.88834241347945, (46.76246551102837, 49.70213053894221))]"
141.0,2.0,3.0,3000,"(-22.8163695, -43.2068501)",0.0,"[(80.13510902077395, (56.90579442702349, 58.570912196448624))]"
65.0,2.0,2.0,1200,"(-22.93048030000001, -43.3555556)",0.0,"[(41.232799069472335, (28.71077845713874, 30.76358637447538))]"
140.0,4.0,3.0,7500,"(-22.9877577, -43.2286995)",0.0,"[(50.56730394651421, (35.157809547813606, 37.784705186667956))]"
65.0,2.0,2.0,2200,"(-23.004933800000003, -43.3312167)",0.0,"[(35.60729471050389, (24.75659938819149, 26.606344972519246))]"
62.0,2.0,2.0,1300,"(-22.93048030000001, -43.3555556)",0.0,"[(41.232799069472335, (28.71077845713874, 30.76358637447538))]"
82.0,3.0,2.0,2200,"(-22.9920076, -43.4023471)",0.0,"[(22.39850787458009, (17.535924566635636, 14.319387051182234))]"
57.0,1.0,1.0,1600,"(-22.97579330000001, -43.1912304)",0.0,"[(58.54188696335408, (40.65927607852282, 43.789609433937926))]"
75.0,2.0,2.0,1500,"(-22.9454515, -43.33619829999999)",0.0,"[(41.54257975359294, (28.71077845713874, 31.22550208580384))]"
65.0,1.0,2.0,1900,"(-22.968515300000004, -43.1850961)",0.0,"[(60.7156892851034, (42.980207271165774, 44.528674572063466))]"
92.0,2.0,3.0,1900,"(-23.0217111, -43.486967799999995)",0.0,"[(8.857496111725073, (5.759347774336214, 7.021118812192579))]"
70.0,2.0,2.0,2000,"(-22.9190092, -43.2373143)",0.0,"[(60.34990863571124, (42.89424685662345, 44.06675886073501))]"
55.0,2.0,2.0,1700,"(-22.928988, -43.3534191)",1.0,0
105.0,3.0,2.0,2000,"(-22.8264095, -43.1726886)",0.0,"[(83.70415262640068, (58.62500271787012, 62.08147160254491))]"
61.0,2.0,2.0,1800,"(-22.7604893, -43.4560811)",0.0,
70.0,2.0,2.0,1800,"(-23.0217111, -43.486967799999995)",0.0,"[(8.857496111725073, (5.759347774336214, 7.021118812192579))]"
86.0,2.0,2.0,12000,"(-22.9855992, -43.1969718)",0.0,"[(56.75033805388127, (39.713711518557176, 42.126712873155476))]"
101.0,,3.0,3400,"(-22.9770236, -43.230294)",0.0,"[(51.43275902628339, (35.75953244960993, 38.4313871825278))]"
50.0,1.0,1.0,1100,"(-22.8979639, -43.2504148)",0.0,"[(61.585965361562835, (43.75385100204676, 44.990590283391924))]"
36.0,1.0,1.0,2350000,"(-22.981271300000003, -43.2004164)",0.0,"[(56.74966466317987, (39.28390944584552, 42.588628584483935))]"
70.0,2.0,2.0,1500,"(-22.9166361, -43.2097521)",0.0,"[(63.672766583019104, (44.26961348930075, 47.57731826683129))]"
140.0,1.0,3.0,3300,"(-22.9636043, -43.1696615)",0.0,"[(63.92051774526424, (44.61345514747008, 47.57731826683129))]"
200.0,6.0,4.0,11000,"(-22.9840518, -43.221537899999994)",0.0,"[(51.57433000782678, (36.7910574241179, 37.50755575987088))]"
280.0,2.0,4.0,7000,"(-22.9387029, -43.17358170000001)",0.0,"[(66.80945316356322, (48.13783214370567, 48.03923397815975))]"
81.0,3.0,3.0,2200,"(-23.002106100000002, -43.39327614523657)",0.0,"[(28.09894812353894, (21.490103635582887, 18.66139473766975))]"
82.0,1.0,2.0,1500,"(-22.9344154, -43.2100703)",0.0,"[(62.06992588425607, (43.66789058750443, 45.822038563783146))]"
58.0,2.0,2.0,950,"(-22.8326425, -43.2842228)",0.0,"[(65.77644523076916, (46.07478219468971, 48.77829911628529))]"
120.0,,2.0,10500,"(-22.9798663, -43.222772799999994)",0.0,"[(53.44312935674017, (38.424305300422205, 38.523770324793496))]"
143.0,3.0,3.0,5000,"(-23.014923800000002, -43.407209)",0.0,
66.0,1.0,1.0,1500,"(-22.9247841, -43.2096901)",0.0,"[(63.549250411848746, (44.26961348930075, 47.392551982299906))]"
250.0,3.0,3.0,7000,"(-22.9387029, -43.17358170000001)",0.0,"[(66.80945316356322, (48.13783214370567, 48.03923397815975))]"
52.0,1.0,1.0,1400,"(-22.917009, -43.25892879999999)",0.0,"[(57.861853904568825, (40.22947400581117, 43.23531058034378))]"
180.0,3.0,4.0,12850,"(-22.9839557, -43.202216299999996)",0.0,"[(56.50185306493152, (39.28390944584552, 42.219096015421165))]"
161.0,2.0,3.0,4500,"(-23.0011303, -43.3608268)",0.0,"[(33.13456591116334, (23.037391097344855, 24.75868212720541))]"
65.0,,1.0,2350,"(-23.0015257, -43.395351700000006)",0.0,"[(27.853070087341973, (21.318182806498225, 18.476628453138368))]"
44.0,,1.0,2000,"(-22.928182500000002, -43.1748537)",0.0,"[(68.25134636576706, (47.96591131462101, 50.44119567706774))]"
30.0,1.0,1.0,1200,"(-22.9674748, -43.18745360000001)",0.0,"[(60.46277000719815, (42.55040519845412, 44.621057714329154))]"
76.0,2.0,2.0,1700,"(-23.0255504, -43.49052620000001)",0.0,"[(6.628689064781376, (4.899743628912899, 4.619157113284592))]"
133.0,2.0,3.0,3500,"(-22.9986176, -43.2529098)",0.0,"[(47.60002938730555, (33.09475959879765, 35.56750977229135))]"
75.0,2.0,2.0,4400,"(-22.9770236, -43.230294)",0.0,"[(51.43275902628339, (35.75953244960993, 38.4313871825278))]"
169.0,2.0,2.0,850,"(-23.0018092, -43.6260636)",0.0,"[(8.451706010121109, (-6.447031090674867, -5.635371678207202))]"
70.0,1.0,3.0,1600,"(-23.0063466, -43.4358159)",0.0,"[(18.23501274789193, (13.667705912230717, 12.471724205868398))]"
52.0,1.0,2.0,850,"(-22.8878289, -43.4440807)",0.0,"[(34.49656082929182, (24.2408369009375, 25.497747265330947))]"
200.0,3.0,3.0,2500,"(-22.9182569, -43.3964923)",0.0,"[(36.967295550141195, (25.702163948157136, 27.62255953744186))]"
54.0,1.0,2.0,1200,"(-22.8142113, -43.1951416)",0.0,"[(83.45459697774349, (58.023279816073796, 62.35862102934198))]"
87.0,2.0,3.0,1800,"(-22.9966799, -43.4249176)",0.0,"[(19.65722194613571, (14.699230886738695, 13.487938770791008))]"
80.0,1.0,2.0,1000,"(-22.877274300000003, -43.4301032)",0.0,"[(38.0832347105509, (26.819649337207444, 28.084475248770318))]"
91.0,2.0,2.0,4900,"(-23.0143229, -43.2972041)",0.0,"[(37.48713131900061, (28.28097638442708, 25.405364123065254))]"
85.0,1.0,2.0,1200,"(-22.9166067, -43.3698172)",0.0,"[(40.985899427600536, (28.624818042596406, 30.486436947678303))]"
152.0,3.0,4.0,6000,"(-22.9864374, -43.20719879999999)",0.0,"[(52.350944915974395, (37.994503227710545, 37.3227894753395))]"
35.0,1.0,1.0,850,"(-22.870264399999996, -43.251275899999996)",0.0,"[(65.52917936636514, (45.2151780492664, 49.33259796987944))]"
150.0,3.0,3.0,12000,"(-22.984189699999998, -43.2223282)",0.0,"[(51.51093829358693, (36.705097009575574, 37.50755575987088))]"
78.0,2.0,2.0,1000,"(-22.8887124, -43.268156299999994)",0.0,"[(60.582360220272136, (41.9486822966578, 45.45250599472038))]"
80.0,2.0,2.0,3500,"(-22.9805083, -43.213479299999996)",0.0,"[(55.95781721705208, (38.08046364225288, 42.681011726749624))]"
212.0,4.0,4.0,9000,"(-22.9862574, -43.1922967)",0.0,"[(57.00122607356774, (40.143513591268835, 42.03432973088978))]"
120.0,2.0,2.0,8000,"(-22.9805083, -43.213479299999996)",0.0,"[(55.95781721705208, (38.08046364225288, 42.681011726749624))]"
113.0,2.0,3.0,4000,"(-22.9662234, -43.382768799999994)",0.0,"[(31.92718061388498, (23.123351511887186, 22.818636139625884))]"
72.0,2.0,2.0,3000,"(-22.9732812, -43.379219299999995)",0.0,"[(31.321285684775425, (22.865470268260193, 22.17195414376604))]"
77.0,2.0,2.0,2700,"(-22.988339899999996, -43.3529408)",0.0,"[(34.7418396307347, (24.154876486395167, 25.959662976659406))]"
205.0,4.0,4.0,13000,"(-22.9840518, -43.221537899999994)",0.0,"[(51.57433000782678, (36.7910574241179, 37.50755575987088))]"
63.0,2.0,2.0,1100,"(-22.841664, -43.2644477)",0.0,"[(67.89847184781554, (45.98882178014738, 52.0117090955845))]"
79.0,2.0,2.0,790,"(-22.9137898, -43.2662065)",1.0,0
144.0,3.0,3.0,2800,"(-23.0185151, -43.4634021)",0.0,"[(11.374552476966521, (7.908358137894503, 8.499249088443648))]"
26.0,1.0,1.0,700,"(-22.8147968, -43.3181717)",0.0,"[(64.60361873321543, (45.38709887835106, 47.762084551362676))]"
59.0,2.0,2.0,1100,"(-22.9248493, -43.3596031)",0.0,"[(41.54478744939108, (28.538857628054075, 31.410268370335224))]"
60.0,,2.0,1000,"(-22.849624300000002, -43.3354635)",0.0,"[(56.007443768958936, (38.854107373133864, 41.94194658862409))]"
176.0,2.0,3.0,2900,"(-22.937072600000004, -43.3354416)",0.0,"[(43.646465177401836, (30.00018467527371, 32.980781788851985))]"
108.0,3.0,3.0,2500,"(-22.907383199999998, -43.2876155)",0.0,"[(54.152760705558, (37.65066156954122, 40.46381631237302))]"
450.0,3.0,3.0,15000,"(-22.984338600000005, -43.2328045)",0.0,"[(50.32003106658015, (34.985888718728944, 37.59993890213658))]"
52.0,1.0,2.0,1900,"(-22.969034100000002, -43.187025899999995)",0.0,"[(60.21551581522582, (42.37848436936945, 44.43629142979777))]"
80.0,2.0,1.0,600,"(-22.8953827, -43.115416700000004)",0.0,
70.0,2.0,2.0,1200,"(-22.917662399999998, -43.24595770000001)",0.0,"[(59.22817819111903, (41.77676146757314, 43.60484314940654))]"
90.0,2.0,2.0,1600,"(-22.92292, -43.24442370000001)",0.0,"[(57.861853904568825, (40.22947400581117, 43.23531058034378))]"
280.0,3.0,4.0,14000,"(-22.9843423, -43.2007642)",0.0,"[(56.50185306493152, (39.28390944584552, 42.219096015421165))]"
95.0,,2.0,2800,"(-22.9323641, -43.1821872)",0.0,"[(66.88834241347945, (46.76246551102837, 49.70213053894221))]"
61.0,1.0,2.0,850,"(-22.905018300000002, -43.2907075)",0.0,"[(54.15403092805757, (37.392780325914224, 40.7409657391701))]"
450.0,7.0,4.0,18000,"(-22.9997388, -43.2684256)",0.0,"[(45.869119227767165, (31.891313795205008, 34.27414578057167))]"
680.0,5.0,4.0,27000,"(-22.9766415, -43.188297)",0.0,"[(58.727829556514855, (41.003117736692154, 43.69722629167224))]"
235.0,,3.0,17000,"(-22.9282465, -43.170790419174786)",0.0,"[(68.87093507453675, (48.481673801875, 50.81072824613051))]"
166.0,2.0,3.0,7500,"(-22.9821776, -43.2133851)",0.0,"[(57.24367170473368, (39.79967193309951, 42.77339486901532))]"
117.0,1.0,2.0,3000,"(-22.9663701, -43.1901344)",0.0,"[(60.33508940850283, (42.12060312574246, 44.89820714112623))]"
350.0,,4.0,10000,"(-22.9318016, -43.1823899)",0.0,"[(66.88834241347945, (46.76246551102837, 49.70213053894221))]"
50.0,1.0,1.0,1300,"(-22.9095503, -43.185598999999996)",0.0,"[(69.3710612368689, (49.08339670367132, 50.9031113883962))]"
70.0,1.0,2.0,1400,"(-22.928988, -43.353419099999996)",1.0,0
64.0,1.0,2.0,2200,"(-23.004933800000003, -43.3312167)",0.0,"[(35.60729471050389, (24.75659938819149, 26.606344972519246))]"
130.0,3.0,2.0,5000,"(-22.985511, -43.19287620000001)",0.0,"[(56.999751124262055, (40.0575531767265, 42.126712873155476))]"
64.0,,2.0,1000,"(-22.88537, -43.352706500000004)",0.0,"[(48.280069383433194, (33.61052208605164, 36.02942548361981))]"
69.0,1.0,2.0,1500,"(-22.93425310000001, -43.351368900000004)",0.0,"[(41.41894551037688, (28.968659700765734, 30.76358637447538))]"
82.0,3.0,2.0,2500,"(-22.9920076, -43.4023471)",0.0,"[(22.39850787458009, (17.535924566635636, 14.319387051182234))]"
65.0,2.0,2.0,650,"(-22.9014952, -43.3525042)",0.0,"[(45.99292184544469, (31.891313795205008, 34.45891206510305))]"
94.0,4.0,2.0,2800,"(-22.9130141, -43.216724799999994)",0.0,"[(63.49239802857828, (43.581930172962096, 48.03923397815975))]"
60.0,2.0,2.0,1300,"(-22.9665038, -43.371319299999996)",0.0,"[(34.31852276344253, (24.41275773002216, 25.035831554002485))]"
60.0,2.0,1.0,1950,"(-22.9219495, -43.2345965)",0.0,"[(60.34268946682186, (41.260998980319144, 45.822038563783146))]"
70.0,2.0,2.0,800,"(-22.8355116, -43.3182064)",0.0,"[(60.833651580002176, (42.80828644208111, 44.89820714112623))]"
78.0,2.0,2.0,2600,"(-22.9757782, -43.373473)",0.0,"[(31.86128089699957, (23.725074413683508, 21.987187859234655))]"
65.0,,2.0,1390,"(-22.892945, -43.2891639)",0.0,"[(56.935419608134545, (39.79967193309951, 42.31147915768686))]"
70.0,2.0,2.0,900,"(-22.8974155, -43.30709210000001)",0.0,"[(53.28859647785643, (36.7910574241179, 40.09428374331026))]"
84.0,2.0,2.0,1400,"(-22.9396582, -43.3369363)",0.0,"[(42.03638958878932, (29.226540944392728, 31.410268370335224))]"
70.0,2.0,2.0,1590,"(-22.9451467, -43.3374151)",0.0,"[(41.66841515519541, (28.624818042596406, 31.502651512600913))]"
70.0,2.0,2.0,2300,"(-22.970812600000002, -43.3943784)",0.0,"[(30.11315182890678, (21.404143221040556, 21.987187859234655))]"
54.0,2.0,2.0,1600,"(-22.8947555, -43.2215672)",0.0,"[(66.27478287388054, (46.67650509648603, 48.87068225855098))]"
92.0,3.0,2.0,2600,"(-23.0048388, -43.366279799999994)",0.0,"[(32.5163837113282, (22.6075890246332, 24.296766415876952))]"
71.0,2.0,2.0,1700,"(-22.9264873, -43.2362387)",0.0,"[(60.340789541983774, (41.34695939486148, 45.72965542151746))]"
134.0,4.0,4.0,6500,"(-22.9790043, -43.21843320000001)",0.0,"[(54.18450733487538, (38.94006778767619, 39.07806917838764))]"
150.0,2.0,3.0,4000,"(-22.983158399999997, -43.2050161)",0.0,"[(52.92137908201368, (38.59622612950687, 37.50755575987088))]"
92.0,2.0,3.0,1700,"(-22.8128362, -43.2007792)",0.0,"[(82.71277833794133, (57.50751732881981, 61.804322175747835))]"
51.0,2.0,2.0,1300,"(-22.978555800000002, -43.4178749)",0.0,"[(28.189108312482247, (19.598974515651594, 21.063356436577738))]"
70.0,2.0,2.0,1500,"(-22.8306464, -43.3137382)",0.0,"[(62.74795987311863, (44.011732245673755, 46.46872055964299))]"
72.0,,2.0,2100,"(-22.9997404, -43.3659929)",0.0,"[(33.75274811099848, (23.467193170056515, 25.22059783853387))]"
50.0,1.0,1.0,2000,"(-22.9535105, -43.181536799999996)",0.0,"[(61.8182199835137, (42.980207271165774, 46.191571132845915))]"
120.0,3.0,3.0,4500,"(-27.5660564, -53.9719817)",0.0,
80.0,1.0,1.0,3300,"(-23.0048388, -43.366279799999994)",0.0,"[(32.5163837113282, (22.6075890246332, 24.296766415876952))]"
56.0,2.0,2.0,1600,"(-22.927716699999998, -43.359089600000004)",0.0,"[(41.29531128031468, (28.538857628054075, 31.040735801272454))]"
50.0,1.0,1.0,1700,"(-22.98939660000001, -43.2304766)",0.0,"[(50.32003106658015, (34.985888718728944, 37.59993890213658))]"
60.0,1.0,2.0,800,"(-22.896601399999998, -43.3447441)",0.0,"[(47.849857991024344, (32.92283876971298, 36.12180862588551))]"
65.0,2.0,2.0,2300,"(-23.0048388, -43.366279799999994)",0.0,"[(32.5163837113282, (22.6075890246332, 24.296766415876952))]"
86.0,2.0,2.0,3600,"(-22.943613199999998, -43.185880499999996)",0.0,"[(64.32529627233549, (43.23808851479277, 49.60974739667651))]"
80.0,4.0,2.0,3000,"(-22.9332703, -43.237241)",0.0,"[(57.738217464601796, (40.143513591268835, 43.14292743807808))]"
